Source, Target
41001, 41061
41003, 41043
41005, 41007
41005, 41009
41005, 41013
41005, 41017
41005, 41027
41005, 41031
41005, 41041
41005, 41047
41005, 41051
41005, 41053
41005, 41055
41005, 41057
41005, 41065
41005, 41067
41005, 41071
41005, 53011
41005, 53039
41005, 53059
41007, 53049
41007, 53069
41009, 53015
41011, 41015
41011, 41019
41013, 41017
41013, 41023
41013, 41031
41015, 46011
41015, 6015
41017, 41013
41017, 41023
41017, 41025
41017, 41031
41017, 41035
41017, 41037
41017, 41069
41019, 41011
41019, 41033
41019, 41039
41027, 41065
41027, 53039
41027, 53059
41029, 41015
41029, 41019
41029, 41033
41029, 41035
41029, 41037
41029, 6015
41029, 6093
41031, 41013
41033, 41015
41033, 41029
41033, 6015
41035, 41029
41035, 41037
41039, 41003
41039, 41011
41039, 41019
41039, 41033
41039, 41035
41039, 41037
41039, 41041
41039, 41043
41043, 41003
41043, 41039
41043, 41047
41045, 16075
41045, 16087
41047, 41003
41047, 41005
41047, 41025
41047, 41041
41047, 41043
41047, 41053
41047, 41057
41047, 41071
41049, 41059
41051, 41003
41051, 41005
41051, 41007
41051, 41009
41051, 41011
41051, 41013
41051, 41017
41051, 41021
41051, 41025
41051, 41027
41051, 41031
41051, 41037
41051, 41039
41051, 41041
41051, 41043
41051, 41047
41051, 41049
41051, 41053
41051, 41055
41051, 41057
41051, 41059
41051, 41061
41051, 41063
41051, 41065
41051, 41067
41051, 41071
41051, 2050
41051, 53011
41051, 53015
41051, 53039
41051, 53059
41051, 53069
41053, 41047
41053, 41071
41059, 41001
41059, 41021
41059, 41023
41059, 41049
41059, 41061
41059, 41063
41059, 53005
41059, 53013
41059, 53071
41061, 41001
41061, 41063
41065, 41021
41065, 41027
41065, 41055
41065, 53039
41067, 41003
41067, 41005
41067, 41007
41067, 41009
41067, 41013
41067, 41017
41067, 41019
41067, 41023
41067, 41027
41067, 41031
41067, 41041
41067, 41043
41067, 41047
41067, 41051
41067, 41053
41067, 41055
41067, 41057
41067, 41063
41067, 41071
41067, 53011
41067, 53015
41067, 53059
41067, 53069
41071, 41053
41071, 41067
33001, 33013
33005, 50025
33007, 50009
33009, 33007
33009, 33019
33009, 50005
33009, 50009
33009, 50017
33009, 50027
33011, 33001
33011, 33005
33011, 33007
33011, 33009
33011, 33013
33011, 33015
33013, 33001
33013, 33009
33013, 33011
33013, 33019
33015, 33001
33015, 33003
33015, 33011
33015, 33013
33015, 33017
33015, 25009
33015, 23031
33017, 33003
33017, 33015
33017, 23031
33019, 50027
25001, 25007
25005, 25001
25005, 25021
25005, 25023
25005, 44001
25005, 44003
25005, 44005
25005, 44007
25009, 33003
25009, 33007
25009, 33011
25009, 33015
25009, 33017
25009, 25017
25009, 25021
25009, 25023
25009, 25025
25009, 25027
25009, 23005
25011, 25015
25013, 25003
25013, 25011
25013, 25015
25013, 9003
25013, 9013
25013, 50025
25015, 25011
25015, 25013
25017, 33001
25017, 33003
25017, 33005
25017, 33007
25017, 33009
25017, 33011
25017, 33013
25017, 33015
25017, 33017
25017, 33019
25017, 25001
25017, 25003
25017, 25005
25017, 25007
25017, 25009
25017, 25011
25017, 25013
25017, 25015
25017, 25021
25017, 25023
25017, 25025
25017, 25027
25017, 50001
25017, 50005
25017, 50007
25017, 50009
25017, 50017
25017, 50019
25017, 50021
25017, 50023
25017, 50025
25017, 50027
25017, 44001
25017, 44003
25017, 44005
